model,place,strength,bertscore_prompt,bleu,bertscore_response,delta_log_prob,entropy_shift,jsd_drift,activation_similarity,mirroring_rate_batch,mirroring_yes,mirroring_total,mirroring_rate
G-7B,global,0.25,0.8799052205868065,22.55982297554224,0.8938295803964138,29.581350922584534,0.08763635158538818,,0.6856813430786133,0.0234375,6,256,0.0234375
G-7B,global,0.5,0.9106741088908166,30.86478288488235,0.9150198292918503,21.791761994361877,0.04791557788848877,,0.7170315980911255,0.1328125,34,256,0.1328125
G-7B,global,1.0,0.9999999916180968,100.00000000000004,0.999999976484105,0.0,0.0,,0.9999980926513672,1.0,256,256,1.0
G-7B,global,1.5,0.9098584498278797,33.68955790335806,0.9182554041035473,17.678560853004456,0.0356830358505249,,0.7153521776199341,0.2734375,70,256,0.2734375
G-7B,global,2.0,0.9023691222537309,31.189951778329192,0.9160691634751856,19.627794861793518,0.044948697090148926,,0.6913289818912745,0.125,32,256,0.125
G-7B,global,3.0,0.8891428324859589,25.63071542901845,0.9052662525791675,23.89180624485016,0.055638790130615234,,0.6541547775268555,0.08203125,21,256,0.08203125
L3.1-8B,global,0.25,0.8799052205868065,22.96237612321697,0.8912602257914841,21.00393295288086,0.1372520923614502,,0.2629935387521982,0.01953125,5,256,0.01953125
L3.1-8B,global,0.5,0.9106741088908166,31.513354893903152,0.9120615744031966,12.630027770996094,0.10342860221862793,,0.33091480284929276,0.078125,20,256,0.078125
L3.1-8B,global,1.0,0.9999999916180968,100.00000000000004,0.9999999790452421,0.0,0.0,,1.0000324249267578,1.0,256,256,1.0
L3.1-8B,global,1.5,0.9098584498278797,29.86345392219213,0.9172028228640556,10.107612609863281,0.11695599555969238,,0.36520132422447205,0.125,32,256,0.125
L3.1-8B,global,2.0,0.9023691222537309,27.24829339763935,0.9117319986689836,11.149238586425781,0.12466168403625488,,0.33097346127033234,0.06640625,17,256,0.06640625
L3.1-8B,global,3.0,0.8891428324859589,24.72579866912265,0.9058538344688714,13.881401062011719,0.13484978675842285,,0.24562468938529491,0.05078125,13,256,0.05078125
Q2.5-7B,global,0.25,0.8799052205868065,18.31060249654981,0.8871267077047378,32.785675048828125,0.06321048736572266,,0.23672808520495892,0.0,0,256,0.0
Q2.5-7B,global,0.5,0.9106741088908166,26.090643517532925,0.9033141052350402,18.741607666015625,0.03309965133666992,,0.28283892571926117,0.03515625,9,256,0.03515625
Q2.5-7B,global,1.0,0.9999999916180968,100.00000000000004,0.9999999762512743,0.0,0.0,,0.9999771118164062,1.0,256,256,1.0
Q2.5-7B,global,1.5,0.9098584498278797,28.457118888675183,0.9111199679318815,14.84454345703125,0.031244754791259766,,0.3347373455762863,0.16796875,43,256,0.16796875
Q2.5-7B,global,2.0,0.9023691222537309,26.516164579536397,0.9081935994327068,17.65631103515625,0.03819108009338379,,0.28797578904777765,0.05859375,15,256,0.05859375
Q2.5-7B,global,3.0,0.8891428324859589,23.262221386719272,0.9021244894247502,22.085418701171875,0.055321693420410156,,0.23180251102894545,0.01953125,5,256,0.01953125
