model,place,strength,bertscore_prompt,bleu,bertscore_response,delta_log_prob,entropy_shift,activation_similarity
L3.1-8B,global,0,0.9999999478459358,100.00000000000004,1.0,0.0,0.0,0.999725341796875
L3.1-8B,global,10,0.8974756076931953,45.512165585514694,0.9163410440087318,-3.77001953125,0.0710906982421875,0.867950439453125
L3.1-8B,global,25,0.8305142298340797,40.30432304597389,0.9031212702393532,-0.7373046875,0.055145263671875,0.790802001953125
L3.1-8B,global,50,0.8025357723236084,41.70939443913072,0.8892466127872467,0.27734375,0.066375732421875,0.778045654296875
L3.1-8B,global,75,0.821999553591013,38.29862233471778,0.8882013633847237,1.7001953125,0.067138671875,0.8262939453125
L3.1-8B,global,100,0.907406210899353,56.24478183944372,0.9405485279858112,4.103515625,0.0566864013671875,0.93731689453125
L3.1-8B,prefix,0,0.9999999478459358,100.00000000000004,1.0,0.0,0.0,0.999725341796875
L3.1-8B,prefix,10,0.9336945563554764,64.85914690130562,0.9511867016553879,-3.9736328125,0.01800537109375,0.958099365234375
L3.1-8B,prefix,25,0.8947988674044609,55.55140550683929,0.9314456470310688,-2.462890625,0.0635223388671875,0.902069091796875
L3.1-8B,prefix,50,0.8658303581178188,59.734087970370936,0.930075004696846,-1.5791015625,0.054473876953125,0.862518310546875
L3.1-8B,prefix,75,0.8790178410708904,55.310534255569635,0.9282094351947308,0.095703125,0.056427001953125,0.90179443359375
L3.1-8B,prefix,100,0.9336986467242241,58.31942116384168,0.9427224062383175,2.083984375,0.0465240478515625,0.9718017578125
L3.1-8B,suffix,0,0.9999999478459358,100.00000000000004,1.0,0.0,0.0,0.999725341796875
L3.1-8B,suffix,10,0.9495812654495239,57.106224123277066,0.9370296262204647,-1.2509765625,0.0372314453125,0.918975830078125
L3.1-8B,suffix,25,0.9069742932915688,41.290961407623065,0.9061510004103184,3.6123046875,0.0530548095703125,0.8590087890625
L3.1-8B,suffix,50,0.8874208927154541,40.97903190543035,0.906352311372757,4.2333984375,0.066680908203125,0.79840087890625
L3.1-8B,suffix,75,0.8942788504064083,39.656818790791675,0.9068123325705528,3.6962890625,0.0517425537109375,0.839691162109375
L3.1-8B,suffix,100,0.9373383931815624,51.185077771624805,0.9345043338835239,2.0771484375,0.0597991943359375,0.925811767578125
