model,place,strength,bertscore_prompt,bleu,bertscore_response,delta_log_prob,entropy_shift,activation_similarity
Q3.5-9B,global,0,0.9999999776482582,100.00000000000004,0.9999999552965164,0.0,0.0,0.99853515625
Q3.5-9B,global,10,0.8978005200624466,42.02936667527636,0.9080924727022648,7.140625,0.03472900390625,0.91162109375
Q3.5-9B,global,25,0.8355121687054634,32.370259445356325,0.8849496655166149,18.09375,0.06646728515625,0.863037109375
Q3.5-9B,global,50,0.8044090382754803,30.068395037838847,0.8703359514474869,18.125,0.06451416015625,0.842529296875
Q3.5-9B,global,75,0.8145775459706783,30.09502505489472,0.8770843036472797,18.03125,0.06854248046875,0.83544921875
Q3.5-9B,global,100,0.9076858125627041,52.54784823161812,0.9399508088827133,7.8203125,0.04595947265625,0.903076171875
Q3.5-9B,prefix,0,0.9999999776482582,100.00000000000004,0.9999999552965164,0.0,0.0,0.99853515625
Q3.5-9B,prefix,10,0.9386850371956825,52.50955237305243,0.9261708781123161,5.4296875,0.0252685546875,0.9365234375
Q3.5-9B,prefix,25,0.8955158963799477,44.61238107121927,0.9074926860630512,9.4296875,0.0389404296875,0.89892578125
Q3.5-9B,prefix,50,0.867232158780098,38.35337303354991,0.8959785588085651,13.296875,0.04864501953125,0.884033203125
Q3.5-9B,prefix,75,0.8688632845878601,44.37875871384034,0.9080326296389103,12.6640625,0.04913330078125,0.885009765625
Q3.5-9B,prefix,100,0.9237425029277802,57.372330043668995,0.9402587972581387,7.21875,0.0361328125,0.935302734375
Q3.5-9B,suffix,0,0.9999999776482582,100.00000000000004,0.9999999552965164,0.0,0.0,0.99853515625
Q3.5-9B,suffix,10,0.9503789320588112,65.84070076612024,0.9442987777292728,3.9375,0.02105712890625,0.95556640625
Q3.5-9B,suffix,25,0.8911691233515739,44.45541140696747,0.9103894904255867,8.8125,0.04296875,0.919677734375
Q3.5-9B,suffix,50,0.8693066872656345,40.45588829246427,0.8996017426252365,10.90625,0.04693603515625,0.903076171875
Q3.5-9B,suffix,75,0.8781256265938282,41.72658263516638,0.9036143571138382,10.8125,0.05633544921875,0.903076171875
Q3.5-9B,suffix,100,0.9358080998063087,54.12160352546111,0.9333706051111221,7.1875,0.04376220703125,0.92626953125
