model,place,strength,bertscore_prompt,bleu,bertscore_response,delta_log_prob,entropy_shift,activation_similarity,mirroring_rate_batch,mirroring_yes,mirroring_total,mirroring_rate
L3.2-3B,global,-10,0.8928623050451279,20.91254663765331,0.8725561387836933,-3.865234375,-0.013885498046875,0.729644775390625,0.0,0,16,0.0
L3.2-3B,global,-8,0.8926777169108391,26.533723936253992,0.8783362545073032,-7.2880859375,0.0142059326171875,0.73529052734375,0.0625,1,16,0.0625
L3.2-3B,global,-6,0.8950364142656326,28.15879835206932,0.8823943771421909,-6.7626953125,0.01666259765625,0.74267578125,0.0625,1,16,0.0625
L3.2-3B,global,-4,0.9145015925168991,34.42419205934125,0.8973289988934994,-6.8291015625,0.025634765625,0.778594970703125,0.0625,1,16,0.0625
L3.2-3B,global,-2,0.9430025853216648,51.12693276207285,0.927931260317564,-6.04931640625,0.04985809326171875,0.9144287109375,0.0625,1,16,0.0625
L3.2-3B,global,0,1.0000000074505806,100.00000000000004,0.9999999850988388,0.0,0.0,1.000091552734375,0.0,0,16,0.0
L3.2-3B,global,2,0.9519395567476749,50.982959850602136,0.9309737905859947,-8.61865234375,0.0281219482421875,0.900054931640625,0.1875,3,16,0.1875
L3.2-3B,global,4,0.9327069111168385,44.63760276767716,0.9184513203799725,-8.931640625,0.04693603515625,0.81744384765625,0.3125,5,16,0.3125
L3.2-3B,global,6,0.9043527729809284,35.302583772550555,0.9003209322690964,-10.80078125,0.0025482177734375,0.741546630859375,0.3125,5,16,0.3125
L3.2-3B,global,8,0.9025677181780338,36.482584868096055,0.9033500701189041,-9.3154296875,0.0029754638671875,0.699676513671875,0.375,6,16,0.375
L3.2-3B,global,10,0.8896442726254463,31.437903498685717,0.8950782008469105,-12.18359375,-0.009521484375,0.661163330078125,0.125,2,16,0.125
L3.2-3B,prefix,-10,0.9209540449082851,46.757360494849316,0.9324967488646507,-1.638671875,0.04656982421875,0.787628173828125,0.0,0,16,0.0
L3.2-3B,prefix,-8,0.9172497801482677,44.14654461005943,0.9256309568881989,0.201171875,0.047882080078125,0.779022216796875,0.0625,1,16,0.0625
L3.2-3B,prefix,-6,0.9196616187691689,42.26979766294479,0.9205419309437275,1.169921875,0.04376220703125,0.77996826171875,0.0,0,16,0.0
L3.2-3B,prefix,-4,0.9383121989667416,46.296377877638704,0.9285275414586067,0.7998046875,0.03216552734375,0.814788818359375,0.0,0,16,0.0
L3.2-3B,prefix,-2,0.9570163376629353,57.04503447016261,0.9436208009719849,1.26904296875,0.04666900634765625,0.9326171875,0.0,0,16,0.0
L3.2-3B,prefix,0,1.0000000074505806,100.00000000000004,0.9999999850988388,0.0,0.0,1.000091552734375,0.0,0,16,0.0
L3.2-3B,prefix,2,0.9588538892567158,70.84044558001729,0.9595876261591911,-0.65234375,0.0034332275390625,0.975341796875,0.0,0,16,0.0
L3.2-3B,prefix,4,0.945475947111845,59.6909815726039,0.9487918317317963,-6.10205078125,0.015655517578125,0.86968994140625,0.0,0,16,0.0
L3.2-3B,prefix,6,0.9156567193567753,53.07255977931389,0.9349900409579277,-6.03564453125,-0.016632080078125,0.79376220703125,0.0625,1,16,0.0625
L3.2-3B,prefix,8,0.9124310612678528,42.814225934046746,0.923154953867197,-6.44189453125,-0.0208740234375,0.776641845703125,0.125,2,16,0.125
L3.2-3B,prefix,10,0.9038606286048889,41.32349801471335,0.918285209685564,-6.55859375,-0.0233154296875,0.670989990234375,0.3125,5,16,0.3125
L3.2-3B,suffix,-10,0.9183467254042625,24.87633167158713,0.8777173459529877,-5.8935546875,0.0235137939453125,0.699432373046875,0.0,0,16,0.0
L3.2-3B,suffix,-8,0.9264542795717716,29.023593824813723,0.8860703036189079,-6.6064453125,0.0175018310546875,0.76934814453125,0.0,0,16,0.0
L3.2-3B,suffix,-6,0.9306561090052128,34.24083338632299,0.8948885351419449,-7.755859375,0.02728271484375,0.78094482421875,0.0,0,16,0.0
L3.2-3B,suffix,-4,0.9453458227217197,39.83777006578651,0.9051414504647255,-9.8212890625,0.0377197265625,0.858795166015625,0.0,0,16,0.0
L3.2-3B,suffix,-2,0.9748645089566708,58.19154652020975,0.9417980015277863,-4.9892578125,0.0173797607421875,0.977630615234375,0.0,0,16,0.0
L3.2-3B,suffix,0,1.0000000074505806,100.00000000000004,0.9999999850988388,0.0,0.0,1.000091552734375,0.0,0,16,0.0
L3.2-3B,suffix,2,0.9756153486669064,62.637540220551834,0.9438697621226311,-2.7373046875,0.019012451171875,0.9683837890625,0.1875,3,16,0.1875
L3.2-3B,suffix,4,0.9547283239662647,43.356319338262715,0.9099582657217979,-6.72900390625,0.032958984375,0.900177001953125,0.3125,5,16,0.3125
L3.2-3B,suffix,6,0.9290144704282284,33.47100375864046,0.8931580409407616,-4.80810546875,0.01125335693359375,0.852569580078125,0.25,4,16,0.25
L3.2-3B,suffix,8,0.9253977946937084,35.54278066912038,0.8962466381490231,-5.57373046875,0.01056671142578125,0.854888916015625,0.3125,5,16,0.3125
L3.2-3B,suffix,10,0.9171568416059017,34.16509046358321,0.8964652493596077,-6.48388671875,0.001861572265625,0.781768798828125,0.4375,7,16,0.4375
