model,place,strength,bertscore_prompt,bleu,bertscore_response,delta_log_prob,entropy_shift,jsd_drift,activation_similarity,mirroring_rate_batch,mirroring_yes,mirroring_total,mirroring_rate
L3.2-3B,global,-10,0.8773961821570992,18.299166996931458,0.8718328620307148,-4.287109375,-0.06025123596191406,,0.28604166209697723,0.0,0,128,0.0
L3.2-3B,global,-8,0.882778778206557,17.420786941417948,0.8761396361514926,-6.9349365234375,-0.04664802551269531,,0.3026316165924072,0.0,0,128,0.0
L3.2-3B,global,-6,0.885994375217706,16.08416257635158,0.8698554788716137,-7.208251953125,-0.04421043395996094,,0.30034900456666946,0.0,0,128,0.0
L3.2-3B,global,-4,0.9033267586492002,26.7545816541994,0.897791292052716,-7.3931884765625,-0.03701591491699219,,0.3101373054087162,0.0,0,128,0.0
L3.2-3B,global,-2,0.9421983468346298,20.19283383187455,0.8926389943808317,-3.2935791015625,-0.011140823364257812,,0.33478599786758423,0.0,0,128,0.0
L3.2-3B,global,0,1.0000000041909516,100.00000000000004,0.9999999883584678,0.0,0.0,,0.99993896484375,0.0,0,128,0.0
L3.2-3B,global,2,0.9295243471860886,34.902835220364736,0.9074317850172521,-0.6617431640625,-0.002826690673828125,,0.3307833671569824,0.0234375,3,128,0.0234375
L3.2-3B,global,4,0.9215914444066584,36.12057293790583,0.9093332635238767,-7.5067138671875,0.017766952514648438,,0.30081137269735336,0.046875,6,128,0.046875
L3.2-3B,global,6,0.894620368257165,29.674633926181407,0.8978194836527109,-5.3369140625,-0.0401763916015625,,0.30386337637901306,0.0625,8,128,0.0625
L3.2-3B,global,8,0.8924016044475138,31.08991258045261,0.8964737928472459,-4.7659912109375,-0.024564743041992188,,0.31784891057759523,0.0703125,9,128,0.0703125
L3.2-3B,global,10,0.8804060607217252,34.30288714523629,0.9006622796878219,-3.106201171875,-0.011507034301757812,,0.2836318127810955,0.03125,4,128,0.03125
L3.2-3B,prefix,-10,0.9016844434663653,20.180592823619662,0.886356414295733,-3.5537109375,-0.0007381439208984375,,0.4812995344400406,0.0,0,128,0.0
L3.2-3B,prefix,-8,0.9026169707067311,16.43346771291438,0.8846084368415177,-3.571044921875,-0.011964797973632812,,0.49325820803642273,0.0,0,128,0.0
L3.2-3B,prefix,-6,0.9030965506099164,14.373145342419667,0.8764442750252783,-3.264404296875,-0.017309188842773438,,0.47437452152371407,0.0078125,1,128,0.0078125
L3.2-3B,prefix,-4,0.925831179600209,15.679482441320484,0.8883466273546219,-1.78955078125,-0.015850067138671875,,0.5141648799180984,0.0,0,128,0.0
L3.2-3B,prefix,-2,0.9583446998149157,17.771524808380118,0.8999790898524225,-1.5257568359375,0.013780593872070312,,0.541619285941124,0.0,0,128,0.0
L3.2-3B,prefix,0,1.0000000041909516,100.00000000000004,0.9999999883584678,0.0,0.0,,0.99993896484375,0.0,0,128,0.0
L3.2-3B,prefix,2,0.9520512167364359,41.28939042283123,0.9231075122952461,-2.7406005859375,0.015369415283203125,,0.547572910785675,0.0078125,1,128,0.0078125
L3.2-3B,prefix,4,0.9334751875139773,35.68188244175919,0.9123258143663406,-6.585693359375,0.023464202880859375,,0.5352964997291565,0.03125,4,128,0.03125
L3.2-3B,prefix,6,0.9032868375070393,32.496375874649885,0.9017105158418417,-6.3411865234375,-0.000518798828125,,0.5244130939245224,0.0859375,11,128,0.0859375
L3.2-3B,prefix,8,0.9003636026754975,35.225825470723386,0.9082491216249764,-5.5751953125,-0.007320404052734375,,0.5191066823899746,0.09375,12,128,0.09375
L3.2-3B,prefix,10,0.8923069052398205,31.102871786489846,0.8976798243820667,-2.4302978515625,0.0001773834228515625,,0.5022847279906273,0.0703125,9,128,0.0703125
L3.2-3B,suffix,-10,0.8974537965841591,23.406489222875756,0.8878428628668189,-1.57470703125,-0.000263214111328125,,0.30818971991539,0.0,0,128,0.0
L3.2-3B,suffix,-8,0.9054285231977701,28.360615428651805,0.8969800770282745,-3.0252685546875,0.0014896392822265625,,0.32720430567860603,0.0,0,128,0.0
L3.2-3B,suffix,-6,0.9080165871419013,27.97791036118385,0.8957908968441188,-3.5452880859375,0.01386260986328125,,0.32840000838041306,0.0,0,128,0.0
L3.2-3B,suffix,-4,0.9225760526023805,35.498963138096606,0.905196821782738,-4.8099365234375,0.020511627197265625,,0.33225174620747566,0.0,0,128,0.0
L3.2-3B,suffix,-2,0.961896491702646,52.054084285078225,0.9330259556882083,-0.0654296875,0.021495819091796875,,0.38380372524261475,0.0,0,128,0.0
L3.2-3B,suffix,0,1.0000000041909516,100.00000000000004,0.9999999883584678,0.0,0.0,,0.99993896484375,0.0,0,128,0.0
L3.2-3B,suffix,2,0.9655620693229139,38.36786930665725,0.9167509828694165,0.125244140625,-0.0017185211181640625,,0.36354950070381165,0.03125,4,128,0.03125
L3.2-3B,suffix,4,0.9356397264637053,34.47589841260545,0.9088981980457902,-5.0296630859375,-0.010793685913085938,,0.34860892966389656,0.046875,6,128,0.046875
L3.2-3B,suffix,6,0.9103250401094556,32.826261801866295,0.904817633330822,-2.6146240234375,-0.027133941650390625,,0.33279287070035934,0.0,0,128,0.0
L3.2-3B,suffix,8,0.9066156540066004,30.769055561768397,0.8969629099592566,-1.95556640625,-0.037197113037109375,,0.33087944239377975,0.0234375,3,128,0.0234375
L3.2-3B,suffix,10,0.8949436261318624,31.84840631950712,0.9040623675100505,-1.5732421875,-0.03839111328125,,0.30122777447104454,0.15625,20,128,0.15625
