model,place,strength,silhouette,asr
Q2.5-7B,prefix,-10,0.2869844436645508,
Q2.5-7B,prefix,-8,0.27214595675468445,
Q2.5-7B,prefix,-6,0.2953450083732605,
Q2.5-7B,prefix,-4,0.42007097601890564,
Q2.5-7B,prefix,-2,0.4540513753890991,
Q2.5-7B,prefix,0,0.4630896747112274,
Q2.5-7B,prefix,2,0.47548213601112366,
Q2.5-7B,prefix,4,0.4572802782058716,
Q2.5-7B,prefix,6,0.2899831533432007,
Q2.5-7B,prefix,8,0.2584135830402374,
Q2.5-7B,prefix,10,0.14233630895614624,
Q2.5-7B,suffix,-10,0.31605207920074463,
Q2.5-7B,suffix,-8,0.3496977686882019,
Q2.5-7B,suffix,-6,0.3939943313598633,
Q2.5-7B,suffix,-4,0.4578803777694702,
Q2.5-7B,suffix,-2,0.4641093909740448,
Q2.5-7B,suffix,0,0.4630896747112274,
Q2.5-7B,suffix,2,0.45129406452178955,
Q2.5-7B,suffix,4,0.4469085931777954,
Q2.5-7B,suffix,6,0.3759971261024475,
Q2.5-7B,suffix,8,0.3373541831970215,
Q2.5-7B,suffix,10,0.22010712325572968,
Q2.5-7B,global,-10,0.14853283762931824,
Q2.5-7B,global,-8,0.13828372955322266,
Q2.5-7B,global,-6,0.15988625586032867,
Q2.5-7B,global,-4,0.3054211735725403,
Q2.5-7B,global,-2,0.43765825033187866,
Q2.5-7B,global,0,0.4630896747112274,
Q2.5-7B,global,2,0.4612848460674286,
Q2.5-7B,global,4,0.37188026309013367,
Q2.5-7B,global,6,0.15542486310005188,
Q2.5-7B,global,8,0.12478401511907578,
Q2.5-7B,global,10,0.13202157616615295,
