model,place,strength,bertscore_prompt,bleu,bertscore_response,delta_log_prob,entropy_shift,activation_similarity
G-7B,global,0,0.9999999478459358,100.00000000000004,0.9999999925494194,0.0,0.0,1.0
G-7B,global,1,0.9842050187289715,65.76638481752981,0.9510852806270123,0.67529296875,0.005863189697265625,0.999053955078125
G-7B,global,3,0.9579453095793724,57.763416141422375,0.9436039812862873,4.818359375,0.006793975830078125,0.995635986328125
G-7B,global,5,0.9412357322871685,44.64457996516249,0.9210689142346382,5.8154296875,0.02262115478515625,0.992706298828125
G-7B,global,10,0.9058609530329704,32.52948771455918,0.9023229293525219,6.8837890625,0.012996673583984375,0.98614501953125
G-7B,global,20,0.8694157861173153,24.30481425202224,0.8816460818052292,13.4189453125,0.003498077392578125,0.97747802734375
G-7B,prefix,0,0.9999999478459358,100.00000000000004,0.9999999925494194,0.0,0.0,1.0
G-7B,prefix,1,0.9872731678187847,74.9362694823366,0.9611620903015137,0.86474609375,0.0057830810546875,0.999053955078125
G-7B,prefix,3,0.9781220629811287,67.99556604991173,0.9494541324675083,-1.91455078125,0.008819580078125,0.997222900390625
G-7B,prefix,5,0.9705604277551174,66.79412941126093,0.9505089409649372,-1.6953125,0.002483367919921875,0.99346923828125
G-7B,prefix,10,0.954864289611578,65.53493085637312,0.9489134922623634,-1.890625,0.002777099609375,0.995513916015625
G-7B,prefix,20,0.9368584007024765,61.24227851196693,0.9422702081501484,-0.2294921875,0.0035247802734375,0.99627685546875
G-7B,suffix,0,0.9999999478459358,100.00000000000004,0.9999999925494194,0.0,0.0,1.0
G-7B,suffix,1,0.9893152639269829,68.29000019889726,0.9581975340843201,1.0888671875,0.010066986083984375,0.99945068359375
G-7B,suffix,3,0.9777366444468498,64.4684209492644,0.9508878104388714,0.662109375,0.007419586181640625,0.998443603515625
G-7B,suffix,5,0.967939417809248,61.61188066577088,0.942580621689558,3.2509765625,0.010066986083984375,0.997833251953125
G-7B,suffix,10,0.9513865038752556,53.46512649033061,0.9286560751497746,1.9365234375,0.009624481201171875,0.996917724609375
G-7B,suffix,20,0.9289086125791073,45.266828350732034,0.913017250597477,6.0869140625,0.012134552001953125,0.996307373046875
