model,place,strength,bertscore_prompt,bleu,bertscore_response,delta_log_prob,entropy_shift,jsd_drift,activation_similarity,mirroring_rate_batch
L3.2-3B,global,0,1.0000001192092896,100.00000000000004,1.0,0.0,0.0,,0.99951171875,
L3.2-3B,global,1,0.9780830144882202,75.22175700833604,0.9684886336326599,0.62109375,-0.0301513671875,,0.943115234375,
L3.2-3B,global,3,0.9333414435386658,60.31075689099232,0.9519897103309632,1.609375,-0.014892578125,,0.57080078125,
L3.2-3B,global,5,0.9104495346546173,33.60955891591664,0.9208672344684601,4.47265625,-0.035888671875,,0.6414794921875,
L3.2-3B,global,10,0.8797628879547119,24.453383763012912,0.8937724530696869,7.8359375,-0.0211181640625,,0.472259521484375,
L3.2-3B,global,20,0.8300398588180542,19.54934408752631,0.8670504987239838,18.828125,-0.000244140625,,0.417510986328125,
L3.2-3B,prefix,0,1.0000001192092896,100.00000000000004,1.0,0.0,0.0,,0.99951171875,
L3.2-3B,prefix,1,0.9747947752475739,69.78017869115845,0.9680810868740082,-0.2421875,-0.00439453125,,0.959228515625,
L3.2-3B,prefix,3,0.9634294807910919,75.22175700833604,0.9684886336326599,-0.5859375,-0.0498046875,,0.58380126953125,
L3.2-3B,prefix,5,0.9534955322742462,34.69680558784707,0.9157176911830902,-3.66015625,-0.008056640625,,0.75146484375,
L3.2-3B,prefix,10,0.9272608757019044,34.023577750495235,0.9149558842182159,-0.953125,-0.049560546875,,0.88671875,
L3.2-3B,prefix,20,0.8999848961830139,32.66886568169748,0.8993890881538391,3.7578125,-0.0062255859375,,0.757568359375,
L3.2-3B,suffix,0,1.0000001192092896,100.00000000000004,1.0,0.0,0.0,,0.99951171875,
L3.2-3B,suffix,1,0.9893519282341003,82.02586367809876,0.981891542673111,1.3203125,-0.021728515625,,0.5859375,
L3.2-3B,suffix,3,0.9742796123027802,17.825905103041237,0.9085792303085327,2.4921875,-0.0653076171875,,0.539306640625,
L3.2-3B,suffix,5,0.9624185264110565,68.47044681720271,0.9619240462779999,-3.61328125,-0.0400390625,,0.5889892578125,
L3.2-3B,suffix,10,0.9370315372943878,26.086275811550628,0.903126060962677,-3.703125,-0.051513671875,,0.7142333984375,
L3.2-3B,suffix,20,0.9003377854824066,18.850393340537256,0.8821940720081329,-2.046875,-0.0380859375,,0.490966796875,
