model,place,strength,bertscore_prompt,bleu,bertscore_response,delta_log_prob,entropy_shift,jsd_drift,activation_similarity
L3.2-3B,global,0,0.999999999,100,0.999999953,0,0,,0.999809265
L3.2-3B,global,1,0.971348777,54.88393412,0.937671533,-2.125244141,-0.001903534,,0.489278197
L3.2-3B,global,3,0.934718853,38.54769942,0.912179551,-5.581420898,-0.012454987,,0.362922013
L3.2-3B,global,5,0.908662957,33.5169274,0.896385305,-7.626586914,-0.017755508,,0.343156263
L3.2-3B,global,10,0.864485262,17.79200311,0.870504664,-9.676513672,-0.016716003,,0.261566952
L3.2-3B,global,20,0.824471248,9.352209323,0.847303048,-8.648681641,-0.030740738,,0.181127153
L3.2-3B,prefix,0,0.999999999,100,0.999999953,0,0,,0.999809265
L3.2-3B,prefix,1,0.971167386,63.85299189,0.949037545,-2.813720703,-0.002317429,,0.52969408
L3.2-3B,prefix,3,0.958103347,54.2219982,0.937363213,-6.885498047,0.008335114,,0.542191625
L3.2-3B,prefix,5,0.94530137,44.34223356,0.9234448,-8.083007813,0.02261734,,0.451710224
L3.2-3B,prefix,10,0.921042251,34.29624565,0.911695573,-9.897949219,0.034427643,,0.366151705
L3.2-3B,prefix,20,0.890834074,29.9395548,0.896208616,-9.863037109,0.029176712,,0.32392255
L3.2-3B,suffix,0,0.999999999,100,0.999999953,0,0,,0.999809265
L3.2-3B,suffix,1,0.981694913,49.58016861,0.930318208,-0.916748047,0.004432678,,0.886481285
L3.2-3B,suffix,3,0.967767898,39.91536079,0.917065719,-2.328491211,-0.011201859,,0.469765902
L3.2-3B,suffix,5,0.953792907,41.77845675,0.919456441,-2.927001953,-0.013887405,,0.420941748
L3.2-3B,suffix,10,0.932037352,39.90491243,0.912631744,-5.127319336,-0.009319305,,0.226169318
L3.2-3B,suffix,20,0.901068774,29.31743469,0.888835008,-5.927001953,-0.004608154,,0.140608899
