model,place,strength,bertscore_prompt,bleu,bertscore_response,delta_log_prob,entropy_shift,jsd_drift,activation_similarity,mirroring_rate_batch,mirroring_yes,mirroring_total,mirroring_rate
L3.2-3B,global,0,1.0000001192092896,100.00000000000004,1.0,0.0,0.0,,0.99951171875,0.0,0,2,0.0
L3.2-3B,global,1,0.9731245934963226,75.22175700833604,0.9684886336326599,-0.9609375,-0.027099609375,,0.978759765625,0.0,0,2,0.0
L3.2-3B,global,3,0.9479218423366547,60.31075689099232,0.9519897103309632,2.74609375,-0.014404296875,,0.873046875,0.0,0,2,0.0
L3.2-3B,global,5,0.919857919216156,33.60955891591664,0.9208672344684601,2.703125,-0.0172119140625,,0.6331787109375,1.0,2,2,1.0
L3.2-3B,global,10,0.8583743274211884,24.453383763012912,0.8937724530696869,6.9921875,-0.0426025390625,,0.456756591796875,0.5,1,2,0.5
L3.2-3B,global,20,0.8147411048412323,19.54934408752631,0.8670504987239838,9.6484375,-0.024169921875,,0.46649169921875,0.0,0,2,0.0
L3.2-3B,prefix,0,1.0000001192092896,100.00000000000004,1.0,0.0,0.0,,0.99951171875,0.0,0,2,0.0
L3.2-3B,prefix,1,0.9726588428020477,69.78017869115845,0.9680810868740082,-1.21875,-0.0030517578125,,0.953369140625,0.0,0,2,0.0
L3.2-3B,prefix,3,0.9621247351169586,75.22175700833604,0.9684886336326599,2.078125,-0.029541015625,,0.898193359375,0.0,0,2,0.0
L3.2-3B,prefix,5,0.9580745100975038,34.69680558784707,0.9157176911830902,-1.6328125,-0.0162353515625,,0.92724609375,0.0,0,2,0.0
L3.2-3B,prefix,10,0.9250134229660034,34.023577750495235,0.9149558842182159,-0.21875,0.0042724609375,,0.841796875,0.0,0,2,0.0
L3.2-3B,prefix,20,0.8996691405773163,32.66886568169748,0.8993890881538391,3.0078125,-0.0185546875,,0.48541259765625,0.5,1,2,0.5
L3.2-3B,suffix,0,1.0000001192092896,100.00000000000004,1.0,0.0,0.0,,0.99951171875,0.0,0,2,0.0
L3.2-3B,suffix,1,0.9842733442783356,82.02586367809876,0.981891542673111,-1.25,-0.0076904296875,,0.97607421875,0.0,0,2,0.0
L3.2-3B,suffix,3,0.9745154082775116,17.825905103041237,0.9085792303085327,0.484375,-0.0399169921875,,0.5472412109375,0.5,1,2,0.5
L3.2-3B,suffix,5,0.9634615778923035,68.47044681720271,0.9619240462779999,-1.1171875,-0.0867919921875,,0.9384765625,0.5,1,2,0.5
L3.2-3B,suffix,10,0.9384657144546509,26.086275811550628,0.903126060962677,2.2421875,-0.0625,,0.7188720703125,0.0,0,2,0.0
L3.2-3B,suffix,20,0.916998416185379,18.850393340537256,0.8821940720081329,-3.4921875,-0.0224609375,,0.4959716796875,0.0,0,2,0.0
