model,place,strength,silhouette,asr
G-2B,global,0,0.406269371509552,0.046875
G-2B,global,10,0.2996028661727905,0.1328125
G-2B,global,25,0.2203876376152038,0.203125
G-2B,global,50,0.3025925755500793,0.2421875
G-2B,global,75,0.3252564072608948,0.296875
G-2B,global,100,0.2172427475452423,0.1015625
G-2B,prefix,0,0.406269371509552,0.046875
G-2B,prefix,10,0.3520541787147522,0.1484375
G-2B,prefix,25,0.295253038406372,0.1640625
G-2B,prefix,50,0.3227338790893554,0.15625
G-2B,prefix,75,0.3270755410194397,0.1484375
G-2B,prefix,100,0.4034404456615448,0.1171875
G-2B,suffix,0,0.406269371509552,0.046875
G-2B,suffix,10,0.3547443151473999,0.1015625
G-2B,suffix,25,0.3519956171512604,0.1796875
G-2B,suffix,50,0.3260524868965149,0.1640625
G-2B,suffix,75,0.3212432265281677,0.171875
G-2B,suffix,100,0.2202687263488769,0.140625
