model,place,strength,silhouette,asr
Q2.5-1.5B,global,0,0.5387461185455322,0.1015625
Q2.5-1.5B,global,10,0.5494685769081116,0.1796875
Q2.5-1.5B,global,25,0.5085950493812561,0.1953125
Q2.5-1.5B,global,50,0.4836213588714599,0.1875
Q2.5-1.5B,global,75,0.4763278365135193,0.1640625
Q2.5-1.5B,global,100,0.4966010451316833,0.1328125
Q2.5-1.5B,prefix,0,0.5387461185455322,0.1015625
Q2.5-1.5B,prefix,10,0.5145046710968018,0.1875
Q2.5-1.5B,prefix,25,0.5628546476364136,0.2109375
Q2.5-1.5B,prefix,50,0.5215730667114258,0.15625
Q2.5-1.5B,prefix,75,0.5482696890830994,0.171875
Q2.5-1.5B,prefix,100,0.5224841833114624,0.2265625
Q2.5-1.5B,suffix,0,0.5387461185455322,0.1015625
Q2.5-1.5B,suffix,10,0.536612331867218,0.1328125
Q2.5-1.5B,suffix,25,0.5076236724853516,0.15625
Q2.5-1.5B,suffix,50,0.5294356346130371,0.1171875
Q2.5-1.5B,suffix,75,0.5508608222007751,0.1796875
Q2.5-1.5B,suffix,100,0.5081959366798401,0.125
