model,place,strength,silhouette,asr
Q2.5-7B,global,0,0.4630896747112274,0.0234375
Q2.5-7B,global,10,0.4700288474559784,0.0390625
Q2.5-7B,global,25,0.4729959666728973,0.0625
Q2.5-7B,global,50,0.4266611337661743,0.078125
Q2.5-7B,global,75,0.4526829421520233,0.1015625
Q2.5-7B,global,100,0.4848746061325073,0.046875
Q2.5-7B,prefix,0,0.4630896747112274,0.0234375
Q2.5-7B,prefix,10,0.4770920276641845,0.046875
Q2.5-7B,prefix,25,0.4880336821079254,0.0390625
Q2.5-7B,prefix,50,0.4812166094779968,0.0625
Q2.5-7B,prefix,75,0.4955572187900543,0.0625
Q2.5-7B,prefix,100,0.5017846822738647,0.0703125
Q2.5-7B,suffix,0,0.4630896747112274,0.0234375
Q2.5-7B,suffix,10,0.4802200198173523,0.09375
Q2.5-7B,suffix,25,0.4755899310111999,0.0234375
Q2.5-7B,suffix,50,0.4682338833808899,0.1171875
Q2.5-7B,suffix,75,0.4861877858638763,0.0234375
Q2.5-7B,suffix,100,0.4842837452888489,0.0859375
