model,place,strength,silhouette,asr
G-7B,global,0,0.4994210004806518,0.0703125
G-7B,global,1,0.6335997581481934,0.0546875
G-7B,global,3,0.6802864074707031,0.0625
G-7B,global,5,0.6853277683258057,0.078125
G-7B,global,10,0.7174881100654602,0.078125
G-7B,global,20,0.7356840372085571,0.046875
G-7B,prefix,0,0.4994210004806518,0.0703125
G-7B,prefix,1,0.6340913772583008,0.0703125
G-7B,prefix,3,0.5777968168258667,0.0625
G-7B,prefix,5,0.6527330875396729,0.0546875
G-7B,prefix,10,0.6407337188720703,0.078125
G-7B,prefix,20,0.7692515850067139,0.0546875
G-7B,suffix,0,0.4994210004806518,0.0703125
G-7B,suffix,1,0.6245255470275879,0.0703125
G-7B,suffix,3,0.5269936919212341,0.046875
G-7B,suffix,5,0.6119152307510376,0.0390625
G-7B,suffix,10,0.6698145866394043,0.03125
G-7B,suffix,20,0.8174867630004883,0.0390625
