model,place,strength,silhouette,asr
L3.2-3B,global,0,0.3843594789505005,0.0859375
L3.2-3B,global,1,0.3792494833469391,0.0859375
L3.2-3B,global,3,0.3632639050483703,0.125
L3.2-3B,global,5,0.3642520010471344,0.0859375
L3.2-3B,global,10,0.3333091139793396,0.0625
L3.2-3B,global,20,0.3271756172180176,0.0546875
L3.2-3B,prefix,0,0.3843594789505005,0.0859375
L3.2-3B,prefix,1,0.3850513398647308,0.0703125
L3.2-3B,prefix,3,0.3691862523555755,0.0625
L3.2-3B,prefix,5,0.3648119270801544,0.0859375
L3.2-3B,prefix,10,0.3433489203453064,0.078125
L3.2-3B,prefix,20,0.3148115873336792,0.0234375
L3.2-3B,suffix,0,0.3843594789505005,0.0859375
L3.2-3B,suffix,1,0.384740799665451,0.0703125
L3.2-3B,suffix,3,0.3848435878753662,0.046875
L3.2-3B,suffix,5,0.3863604068756103,0.0625
L3.2-3B,suffix,10,0.3587367534637451,0.0546875
L3.2-3B,suffix,20,0.3013078272342682,0.046875
