model,place,strength,silhouette,asr
L3.1-8B,prefix,0,0.4527660310268402,
L3.1-8B,prefix,1,0.4527660310268402,
L3.1-8B,prefix,5,0.4527660310268402,
L3.1-8B,prefix,20,0.4527660310268402,
L3.1-8B,prefix,50,0.4527660310268402,
L3.1-8B,prefix,100,0.4527660310268402,
L3.1-8B,suffix,0,0.4527660310268402,
L3.1-8B,suffix,1,0.4527660310268402,
L3.1-8B,suffix,5,0.4527660310268402,
L3.1-8B,suffix,20,0.4527660310268402,
L3.1-8B,suffix,50,0.4527660310268402,
L3.1-8B,suffix,100,0.4527660310268402,
L3.1-8B,global,0,0.4527660310268402,
L3.1-8B,global,1,0.42159146070480347,
L3.1-8B,global,5,0.4260563850402832,
L3.1-8B,global,20,0.42331355810165405,
L3.1-8B,global,50,0.4900338351726532,
L3.1-8B,global,100,0.510541558265686,
