model,place,strength,silhouette,asr,style_family,surface_style
Q2.5-1.5B,prefix,0,0.5387461185455322,,surface_noise,punctuation
Q2.5-1.5B,prefix,1,0.5043573379516602,,surface_noise,punctuation
Q2.5-1.5B,prefix,3,0.548052966594696,,surface_noise,punctuation
Q2.5-1.5B,prefix,5,0.562298059463501,,surface_noise,punctuation
Q2.5-1.5B,prefix,10,0.5824161767959595,,surface_noise,punctuation
Q2.5-1.5B,prefix,20,0.5738531351089478,,surface_noise,punctuation
Q2.5-1.5B,suffix,0,0.5387461185455322,,surface_noise,punctuation
Q2.5-1.5B,suffix,1,0.5021291971206665,,surface_noise,punctuation
Q2.5-1.5B,suffix,3,0.5661263465881348,,surface_noise,punctuation
Q2.5-1.5B,suffix,5,0.5294626951217651,,surface_noise,punctuation
Q2.5-1.5B,suffix,10,0.523280143737793,,surface_noise,punctuation
Q2.5-1.5B,suffix,20,0.5380399227142334,,surface_noise,punctuation
Q2.5-1.5B,global,0,0.5387461185455322,,surface_noise,punctuation
Q2.5-1.5B,global,1,0.5146325826644897,,surface_noise,punctuation
Q2.5-1.5B,global,3,0.5694751143455505,,surface_noise,punctuation
Q2.5-1.5B,global,5,0.5857924818992615,,surface_noise,punctuation
Q2.5-1.5B,global,10,0.6049835681915283,,surface_noise,punctuation
Q2.5-1.5B,global,20,0.5965445637702942,,surface_noise,punctuation
