model,place,strength,silhouette,asr
G-2B,global,0,0.406269371509552,0.046875
G-2B,global,1,0.4100920557975769,0.0625
G-2B,global,5,0.417587399482727,0.0625
G-2B,global,20,0.3688524067401886,0.109375
G-2B,global,50,0.3192399442195892,0.09375
G-2B,global,100,0.310720682144165,0.09375
G-2B,prefix,0,0.406269371509552,0.046875
G-2B,prefix,1,0.406269371509552,0.046875
G-2B,prefix,5,0.406269371509552,0.046875
G-2B,prefix,20,0.406269371509552,0.046875
G-2B,prefix,50,0.406269371509552,0.046875
G-2B,prefix,100,0.406269371509552,0.046875
G-2B,suffix,0,0.406269371509552,0.046875
G-2B,suffix,1,0.406269371509552,0.046875
G-2B,suffix,5,0.406269371509552,0.046875
G-2B,suffix,20,0.406269371509552,0.046875
G-2B,suffix,50,0.406269371509552,0.046875
G-2B,suffix,100,0.406269371509552,0.046875
