model,place,strength,silhouette,asr
L3.1-8B,global,0,0.4527660310268402,0.1328125
L3.1-8B,global,1,0.418676495552063,0.109375
L3.1-8B,global,5,0.432921290397644,0.1171875
L3.1-8B,global,20,0.420712798833847,0.1015625
L3.1-8B,global,50,0.4425565898418426,0.109375
L3.1-8B,global,100,0.4965095818042755,0.1015625
L3.1-8B,prefix,0,0.4527660310268402,0.1328125
L3.1-8B,prefix,1,0.4527660310268402,0.1328125
L3.1-8B,prefix,5,0.4527660310268402,0.1328125
L3.1-8B,prefix,20,0.4527660310268402,0.1328125
L3.1-8B,prefix,50,0.4527660310268402,0.1328125
L3.1-8B,prefix,100,0.4527660310268402,0.1328125
L3.1-8B,suffix,0,0.4527660310268402,0.1328125
L3.1-8B,suffix,1,0.4527660310268402,0.1328125
L3.1-8B,suffix,5,0.4527660310268402,0.1328125
L3.1-8B,suffix,20,0.4527660310268402,0.1328125
L3.1-8B,suffix,50,0.4527660310268402,0.1328125
L3.1-8B,suffix,100,0.4527660310268402,0.1328125
