model,place,strength,silhouette,asr
Q2.5-1.5B,global,0,0.5387461185455322,0.1015625
Q2.5-1.5B,global,1,0.5039092898368835,0.125
Q2.5-1.5B,global,5,0.6022008657455444,0.1484375
Q2.5-1.5B,global,20,0.5888044834136963,0.140625
Q2.5-1.5B,global,50,0.5727193355560303,0.1328125
Q2.5-1.5B,global,100,0.564441978931427,0.1640625
Q2.5-1.5B,prefix,0,0.5387461185455322,0.1015625
Q2.5-1.5B,prefix,1,0.5432684421539307,0.1015625
Q2.5-1.5B,prefix,5,0.5088024139404297,0.09375
Q2.5-1.5B,prefix,20,0.504423975944519,0.09375
Q2.5-1.5B,prefix,50,0.5064775347709656,0.1171875
Q2.5-1.5B,prefix,100,0.5660784244537354,0.1171875
Q2.5-1.5B,suffix,0,0.5387461185455322,0.1015625
Q2.5-1.5B,suffix,1,0.5002206563949585,0.09375
Q2.5-1.5B,suffix,5,0.5008846521377563,0.0859375
Q2.5-1.5B,suffix,20,0.500619113445282,0.1015625
Q2.5-1.5B,suffix,50,0.5010796189308167,0.09375
Q2.5-1.5B,suffix,100,0.5658831596374512,0.09375
