model,place,strength,bertscore_prompt,bleu,bertscore_response,delta_log_prob,entropy_shift,activation_similarity
G-7B,global,0,0.9999999813735485,100.00000000000004,0.9999999515712261,0.0,0.0,0.999847412109375
G-7B,global,1,0.9809497930109501,93.67242506163107,0.9836652725934982,-0.802520751953125,-5.7220458984375e-06,0.996307373046875
G-7B,global,5,0.942641843110323,72.78676682427079,0.9461892731487751,-0.0520782470703125,0.0025882720947265625,0.989593505859375
G-7B,global,20,0.8513601385056973,61.32451975859307,0.9022081643342972,2.2105255126953125,-0.025644302368164062,0.975128173828125
G-7B,global,50,0.7575065046548843,54.750908310849766,0.8463560044765472,6.1716461181640625,-0.05155372619628906,0.971099853515625
G-7B,global,100,0.7053831666707993,53.375296134461884,0.7969424910843372,8.802993774414062,-0.05776023864746094,0.967926025390625
G-7B,prefix,0,0.9999999813735485,100.00000000000004,0.9999999515712261,0.0,0.0,0.999847412109375
G-7B,prefix,1,0.9999999739229679,100.00000000000004,0.9999999515712261,0.0,0.0,0.999847412109375
G-7B,prefix,5,0.9999999739229679,100.00000000000004,0.9999999515712261,0.0,0.0,0.999847412109375
G-7B,prefix,20,0.9999999739229679,100.00000000000004,0.9999999515712261,0.0,0.0,0.999847412109375
G-7B,prefix,50,0.9999999739229679,100.00000000000004,0.9999999515712261,0.0,0.0,0.999847412109375
G-7B,prefix,100,0.9999999739229679,100.00000000000004,0.9999999515712261,0.0,0.0,0.999847412109375
G-7B,suffix,0,0.9999999813735485,100.00000000000004,0.9999999515712261,0.0,0.0,0.999847412109375
G-7B,suffix,1,0.9999999739229679,100.00000000000004,0.9999999515712261,0.0,0.0,0.999847412109375
G-7B,suffix,5,0.9999999739229679,100.00000000000004,0.9999999515712261,0.0,0.0,0.999847412109375
G-7B,suffix,20,0.9999999739229679,100.00000000000004,0.9999999515712261,0.0,0.0,0.999847412109375
G-7B,suffix,50,0.9999999739229679,100.00000000000004,0.9999999515712261,0.0,0.0,0.999847412109375
G-7B,suffix,100,0.9999999739229679,100.00000000000004,0.9999999515712261,0.0,0.0,0.999847412109375
