model,place,strength,bertscore_prompt,bleu,bertscore_response,delta_log_prob,entropy_shift,jsd_drift,activation_similarity
L3.1-8B,global,0,0.9999999874271452,100.00000000000004,0.9999999552965164,0.0,0.0,,0.9999465942382812
L3.1-8B,global,1,0.9845791519619524,81.1878186392037,0.9787511825561523,-0.2904052734375,0.00089263916015625,,0.7907554507255554
L3.1-8B,global,5,0.9442427419126034,77.90400793038972,0.9723681211471558,-0.738037109375,-0.000476837158203125,,0.5951398462057114
L3.1-8B,global,20,0.8672330277040601,67.56615814227989,0.9589489549398423,-2.4541015625,-0.01117706298828125,,0.4581187665462494
L3.1-8B,global,50,0.7894362704828382,44.55666918339527,0.9377271384000778,-3.80322265625,-0.019073486328125,,0.4261617474257946
L3.1-8B,global,100,0.7263751290738583,53.33970327305711,0.9316176772117615,-4.93389892578125,-0.022474288940429688,,0.4166731536388397
L3.1-8B,prefix,0,0.9999999874271452,100.00000000000004,0.9999999552965164,0.0,0.0,,0.9999465942382812
L3.1-8B,prefix,1,0.9999999855645001,100.00000000000004,0.9999999552965164,0.0,0.0,,0.9999465942382812
L3.1-8B,prefix,5,0.9999999855645001,100.00000000000004,0.9999999552965164,0.0,0.0,,0.9999465942382812
L3.1-8B,prefix,20,0.9999999855645001,100.00000000000004,0.9999999552965164,0.0,0.0,,0.9999465942382812
L3.1-8B,prefix,50,0.9999999855645001,100.00000000000004,0.9999999552965164,0.0,0.0,,0.9999465942382812
L3.1-8B,prefix,100,0.9999999855645001,100.00000000000004,0.9999999552965164,0.0,0.0,,0.9999465942382812
L3.1-8B,suffix,0,0.9999999874271452,100.00000000000004,0.9999999552965164,0.0,0.0,,0.9999465942382812
L3.1-8B,suffix,1,0.9999999855645001,100.00000000000004,0.9999999552965164,0.0,0.0,,0.9999465942382812
L3.1-8B,suffix,5,0.9999999855645001,100.00000000000004,0.9999999552965164,0.0,0.0,,0.9999465942382812
L3.1-8B,suffix,20,0.9999999855645001,100.00000000000004,0.9999999552965164,0.0,0.0,,0.9999465942382812
L3.1-8B,suffix,50,0.9999999855645001,100.00000000000004,0.9999999552965164,0.0,0.0,,0.9999465942382812
L3.1-8B,suffix,100,0.9999999855645001,100.00000000000004,0.9999999552965164,0.0,0.0,,0.9999465942382812
